,rouge-2n,number of Unique sentences,title,source
0,0.033898300086182866,1,the-last-of-the-mohicans-chapter-3-source-stable-16,cliffnotes
1,0.0,1,the-last-of-the-mohicans-chapter-3-source-stable-4,cliffnotes
2,0.1754901917320647,2,the-last-of-the-mohicans-chapter-3-source-stable-13,cliffnotes
3,0.0,1,the-last-of-the-mohicans-chapter-3-source-stable-15,cliffnotes
4,0.0,1,the-last-of-the-mohicans-chapter-4-source-stable-4,cliffnotes
5,0.01587301424036298,1,the-last-of-the-mohicans-chapter-4-source-stable-10,cliffnotes
6,0.3599999950720001,1,the-last-of-the-mohicans-chapter-4-source-stable-5,cliffnotes
7,0.0,1,the-last-of-the-mohicans-chapter-4-source-stable-9,cliffnotes
8,0.14285713808673486,1,the-last-of-the-mohicans-chapter-4-source-stable-13,cliffnotes
9,0.22857142360816338,1,the-last-of-the-mohicans-chapter-4-source-stable-19,cliffnotes
10,0.07843136756632098,1,the-last-of-the-mohicans-chapter-5-source-stable-1,cliffnotes
11,0.02173912831758055,1,the-last-of-the-mohicans-chapter-5-source-stable-5,cliffnotes
12,0.05053833991394122,1,the-last-of-the-mohicans-chapter-5-source-stable-6,cliffnotes
13,0.06451612505202939,1,the-last-of-the-mohicans-chapter-5-source-stable-11,cliffnotes
14,0.13953487874526788,1,the-last-of-the-mohicans-chapter-5-source-stable-14,cliffnotes
15,0.1463414584414041,1,the-last-of-the-mohicans-chapter-5-source-stable-15,cliffnotes
16,0.026315788393351844,2,the-last-of-the-mohicans-chapter-6-source-stable-17,cliffnotes
17,0.0,1,the-last-of-the-mohicans-chapter-6-source-stable-4,cliffnotes
18,0.06003583773703,2,the-last-of-the-mohicans-chapter-6-source-stable-10,cliffnotes
19,0.0,1,the-last-of-the-mohicans-chapter-6-source-stable-15,cliffnotes
20,0.06451612403746138,1,the-last-of-the-mohicans-chapter-6-source-stable-16,cliffnotes
21,0.055555550802469544,1,the-last-of-the-mohicans-chapter-6-source-stable-19,cliffnotes
22,0.0,1,the-last-of-the-mohicans-chapter-6-source-stable-20,cliffnotes
23,0.057971012904851967,2,the-last-of-the-mohicans-chapter-9-source-stable-7,cliffnotes
24,0.0,1,the-last-of-the-mohicans-chapter-9-source-stable-6,cliffnotes
25,0.07692307281804756,1,the-last-of-the-mohicans-chapter-9-source-stable-9,cliffnotes
26,0.028571426073469606,2,the-last-of-the-mohicans-chapter-12-source-stable-15,cliffnotes
27,0.05882352484429102,1,the-last-of-the-mohicans-chapter-12-source-stable-6,cliffnotes
28,0.0,1,the-last-of-the-mohicans-chapter-12-source-stable-4,cliffnotes
29,0.1025640975936886,1,the-last-of-the-mohicans-chapter-15-source-stable-7,cliffnotes
30,0.0869565169754256,1,the-last-of-the-mohicans-chapter-15-source-stable-15,cliffnotes
31,0.04878048530636539,2,the-last-of-the-mohicans-chapter-15-source-stable-19,cliffnotes
32,0.0,1,the-last-of-the-mohicans-chapter-16-source-stable-1,cliffnotes
33,0.0,1,the-last-of-the-mohicans-chapter-16-source-stable-2,cliffnotes
34,0.04444443956543264,1,the-last-of-the-mohicans-chapter-16-source-stable-5,cliffnotes
35,0.0,1,the-last-of-the-mohicans-chapter-16-source-stable-18,cliffnotes
36,0.03773584599501627,1,the-last-of-the-mohicans-chapter-16-source-stable-21,cliffnotes
37,0.0,1,the-last-of-the-mohicans-chapter-17-source-stable-18,cliffnotes
38,0.0,1,the-last-of-the-mohicans-chapter-17-source-stable-29,cliffnotes
39,0.0,1,the-last-of-the-mohicans-chapter-17-source-stable-30,cliffnotes
40,0.06666666166666704,1,the-last-of-the-mohicans-chapter-17-source-stable-20,cliffnotes
41,0.0,1,the-last-of-the-mohicans-chapter-22-source-stable-0,cliffnotes
42,0.07692307204142042,1,the-last-of-the-mohicans-chapter-22-source-stable-7,cliffnotes
43,0.3720930183234181,1,the-last-of-the-mohicans-chapter-22-source-stable-16,cliffnotes
44,0.1025640975936886,1,the-last-of-the-mohicans-chapter-22-source-stable-18,cliffnotes
45,0.24999999503472223,1,the-last-of-the-mohicans-chapter-22-source-stable-21,cliffnotes
46,0.0,1,the-last-of-the-mohicans-chapter-22-source-stable-23,cliffnotes
47,0.07797618568346126,2,the-last-of-the-mohicans-chapter-25-source-stable-3,cliffnotes
48,0.0,1,the-last-of-the-mohicans-chapter-25-source-stable-20,cliffnotes
49,0.3255813903515414,1,the-last-of-the-mohicans-chapter-25-source-stable-17,cliffnotes
50,0.07843136778162274,1,the-last-of-the-mohicans-chapter-25-source-stable-27,cliffnotes
51,0.4999999951757813,1,the-last-of-the-mohicans-chapter-26-source-stable-10,cliffnotes
52,0.1874999957031251,1,the-last-of-the-mohicans-chapter-26-source-stable-6,cliffnotes
53,0.3555555505777778,1,the-last-of-the-mohicans-chapter-26-source-stable-3,cliffnotes
54,0.0,1,the-last-of-the-mohicans-chapter-27-source-stable-13,cliffnotes
55,0.3636363592975207,1,the-last-of-the-mohicans-chapter-27-source-stable-16,cliffnotes
56,0.1999999951125001,1,the-last-of-the-mohicans-chapter-27-source-stable-17,cliffnotes
57,0.22222221793580252,1,the-last-of-the-mohicans-chapter-27-source-stable-18,cliffnotes
58,0.04761904317460359,1,the-last-of-the-mohicans-chapter-30-source-stable-31,cliffnotes
59,0.07692307195266304,1,the-last-of-the-mohicans-chapter-30-source-stable-9,cliffnotes
